Digikey Cart:,https://www.digikey.com/en/mylists/list/B3D2L65G0R
,
Mouser Items: ,https://www.mouser.com/ProductDetail/Molex/205338-0002?qs=GedFDFLaBXGw%2FZd7htQeEw%3D%3D
,
Radio: ,https://www.lcsc.com/product-detail/C411292.html?s_z=n_e22-400m30s
GPS (Terrestrial): ,https://navspark.mybigcommerce.com/px1120s-l1-gnss/?searchid=48640&search_query=PX1120S
BMX160: ,"Unavailable online, we have a stock left over from the previous builds"
RTC Cell:,https://www.amazon.com/CR1225-Lithium-Battery-Thermometer-Watch/dp/B00TI0VQKG?
